tei_file,file_stem,title,authors,author_count,year,doi,journal,publisher
02-Jeanette Winterson_s The Gap of Time in the Caesura of the Time That is Left.tei.xml,02-Jeanette Winterson_s The Gap of Time in the Caesura of the Time That is Left,Jeanette Winterson's The Gap of Time in the Caesura of the Time That is Left,Tatiana Golban,1,,10.1080/00111619.2026.2630971,,
02-Self-perception_ laws and identities. Restricting the relevance of psy knowledge among sex-dis.tei.xml,02-Self-perception_ laws and identities. Restricting the relevance of psy knowledge among sex-dis,"Self-perception, laws and identities. Restricting the relevance of psy knowledge among sex-dissident minorities in Argentina",Romina Del Monaco; María Epele,2,,10.1080/14735784.2025.2566803,,
02-Slow comics_ resource extraction in graphic narrative.tei.xml,02-Slow comics_ resource extraction in graphic narrative,Slow comics: resource extraction in graphic narrative,Jeffrey Mather,1,,10.1080/0950236X.2025.2608014,,
02-Spatiality_ Fugitivity_ and _Black Livingness_ in Harriet Jacobs_s Incidents in the Life of a .tei.xml,02-Spatiality_ Fugitivity_ and _Black Livingness_ in Harriet Jacobs_s Incidents in the Life of a ,"Spatiality, Fugitivity, and ""Black Livingness"" in Harriet Jacobs's Incidents in the Life of a Slave Girl",Tuire Valkeakari,1,,10.1080/0013838X.2026.2615896,,
02-To hope or to weep_ Slow hope in Rohan Chakravarty_s green humour series.tei.xml,02-To hope or to weep_ Slow hope in Rohan Chakravarty_s green humour series,To hope or to weep? Slow hope in Rohan Chakravarty's green humour series,Arundhathi Baburaj; Girish D Pawar; Department of English University of Hyderabad Hyderabad India; Department of English School of Humanities University of Hyderabad 500046 Hyderabad India; Arundhathi Baburaj http://orcid 0009-0002-3933-6444 Girish D. Pawar,5,,10.1080/17449855.2026.2617472,,
03-Beowulf_ the Nibelungenlied_ and the Medieval Germanic Courtier Narrative.tei.xml,03-Beowulf_ the Nibelungenlied_ and the Medieval Germanic Courtier Narrative,"Beowulf, the Nibelungenlied, and the Medieval Germanic Courtier Narrative",Leonard Neidorf,1,,10.1080/0013838X.2026.2615906,,
03-Ethics and Identity in David Albahari_s Bait_ A Ric_urian Reading.tei.xml,03-Ethics and Identity in David Albahari_s Bait_ A Ric_urian Reading,Ethics and Identity in David Albahari's Bait: A Ricoeurian Reading,Raúl Algarín,1,,10.1080/00111619.2026.2630973,,
03-Neuralink and the rise of psychopolitical governmentality.tei.xml,03-Neuralink and the rise of psychopolitical governmentality,Neuralink and the rise of psychopolitical governmentality,Sergi Parellada Guillamón; Ana Gálvez Mozo; Francisco Tirado Serrano,3,,10.1080/14735784.2025.2582471,,
03-The cultural politics of Canto 49 by Ezra Pound. A historical re-evaluation.tei.xml,03-The cultural politics of Canto 49 by Ezra Pound. A historical re-evaluation,The cultural politics of Canto 49 by Ezra Pound. A historical re-evaluation,Roxana Preda,1,,10.1080/0950236X.2025.2608849,,
03-Transnational hauntings_ A reparative reading of ghosts and weak rootedness in Zen Cho_s ____ .tei.xml,03-Transnational hauntings_ A reparative reading of ghosts and weak rootedness in Zen Cho_s ____ ,"Transnational hauntings: A reparative reading of ghosts and weak rootedness in Zen Cho's ""起獅, 行礼 (Rising Lion -The Lion Bows)"" and Black Water Sister",Kam Tou Pang,1,,10.1080/17449855.2026.2615411,,
04-Hieroglyphic Matter in Bacon_s New Atlantis.tei.xml,04-Hieroglyphic Matter in Bacon_s New Atlantis,Hieroglyphic Matter in Bacon's New Atlantis,Katrina L Spadaro; English Studies,2,,10.1080/0013838X.2025.2582141,,
04-Living in Endtimes_ Countersentimental Domesticity in the Age of Uncertainty.tei.xml,04-Living in Endtimes_ Countersentimental Domesticity in the Age of Uncertainty,Living in Endtimes: Countersentimental Domesticity in the Age of Uncertainty,Raili Marling,1,,10.1080/00111619.2026.2627359,,
04-The alienation of Valerii Pereleshin.tei.xml,04-The alienation of Valerii Pereleshin,The alienation of Valerii Pereleshin*,Caio Yurgel,1,,10.1080/0950236X.2025.2612059,,
04-_Let us tend this garden together__ Postcolonial time travel in Ng Yi-Sheng_s _Garden_.tei.xml,04-_Let us tend this garden together__ Postcolonial time travel in Ng Yi-Sheng_s _Garden_,"""Let us tend this garden together"": Postcolonial time travel in Ng Yi-Sheng's ""Garden""",Zhui Ning,1,,10.1080/17449855.2025.2607580,,
04-_We_re on a journey__ antiracist discourse in British development and humanitarian INGOs.tei.xml,04-_We_re on a journey__ antiracist discourse in British development and humanitarian INGOs,'We're on a journey': antiracist discourse in British development and humanitarian INGOs,Kamna Patel,1,,10.1080/14735784.2025.2540261,,
05-Ante-victimhood of Atomic Bombing_ Inter-imperiality and Gender in Jackie Copleton_s A Diction.tei.xml,05-Ante-victimhood of Atomic Bombing_ Inter-imperiality and Gender in Jackie Copleton_s A Diction,Ante-victimhood of Atomic Bombing: Inter-imperiality and Gender in Jackie Copleton's A Dictionary of Mutual Understanding,"Hui Ngoi; Chien; Vandana Saxena; English Studies; Maloney, ""Universal Horror of Atomic Weapons"" para. 4",5,,10.1080/0013838X.2025.2573722,,
05-Crisis Extraordinariness_ Vibrant Relations in Michael Christie_s Greenwood.tei.xml,05-Crisis Extraordinariness_ Vibrant Relations in Michael Christie_s Greenwood,Crisis Extraordinariness: Vibrant Relations in Michael Christie's Greenwood,Eva Darias-Beautell,1,,10.1080/00111619.2026.2628842,,
05-Indeed_ This Is How It Was_ Brother_ by Ali Shariati.tei.xml,05-Indeed_ This Is How It Was_ Brother_ by Ali Shariati,"Indeed, This Is How It Was, Brother! by Ali Shariati",Abolfazl Ahangari,1,,10.1080/17449855.2025.2606727,,
05-Network_ed_ confession_ disidentification_ digitality_ and the politics of self-representation.tei.xml,05-Network_ed_ confession_ disidentification_ digitality_ and the politics of self-representation,"Network(ed) confession: disidentification, digitality, and the politics of self-representation in the work of Kathy Acker and Joanna Walsh",Max Shirley,1,,10.1080/0950236X.2025.2608003,,
05-Technical imagining_ dispelling AI figments of the generative machine learning imagination.tei.xml,05-Technical imagining_ dispelling AI figments of the generative machine learning imagination,Technical imagining: dispelling AI figments of the generative machine learning imagination,Erika Kerruish,1,,10.1080/14735784.2025.2556994,,
06-Breaking the line_ Wong May_s postcolonial and exophonic Chinese mobilities.tei.xml,06-Breaking the line_ Wong May_s postcolonial and exophonic Chinese mobilities,Breaking the line: Wong May's postcolonial and exophonic Chinese mobilities,Ann Ang,1,,10.1080/17449855.2025.2609755,,
06-Orbital Gaze_ Earthly Wounds_ Reading Samantha Harvey_s Orbital as Planetary Fiction.tei.xml,06-Orbital Gaze_ Earthly Wounds_ Reading Samantha Harvey_s Orbital as Planetary Fiction,"Orbital Gaze, Earthly Wounds: Reading Samantha Harvey's Orbital as Planetary Fiction",Qi Xue; Yuan Yuan; College of Foreign Languages University of Shanghai for Science and Technology Shanghai China; College of Foreign Languages University of Shanghai for Science and Technology 200093 Shanghai China,4,,10.1080/00111619.2026.2627364,,
06-The Narrative Perfect and Past Perfective_ Evidence from the Diary of Samuel Pepys.tei.xml,06-The Narrative Perfect and Past Perfective_ Evidence from the Diary of Samuel Pepys,The Narrative Perfect and Past Perfective: Evidence from the Diary of Samuel Pepys,Vladimir Bondar,1,,10.1080/0013838X.2025.2582148,,
06-_A pale view of self__ the limits of knowing and mourning in Kazuo Ishiguro_s A Pale View of H.tei.xml,06-_A pale view of self__ the limits of knowing and mourning in Kazuo Ishiguro_s A Pale View of H,'A pale view of self': the limits of knowing and mourning in Kazuo Ishiguro's A Pale View of Hills,Zengjing Li,1,,10.1080/0950236X.2025.2608850,,
06-_Verbi-voco-visual explorations__ information and the object of poetry between McLuhan and Ben.tei.xml,06-_Verbi-voco-visual explorations__ information and the object of poetry between McLuhan and Ben,'Verbi-voco-visual explorations': information and the object of poetry between McLuhan and Bense,Tobias Wilke,1,,10.1080/14735784.2025.2506993,,
07-Affect_ Evolution_ and Reparation_ AI Self-Sacrifice in Klara and the Sun.tei.xml,07-Affect_ Evolution_ and Reparation_ AI Self-Sacrifice in Klara and the Sun,"Affect, Evolution, and Reparation: AI Self-Sacrifice in Klara and the Sun",Meixuan Li,1,,10.1080/00111619.2026.2625271,,
07-Communities of Writing_ The Main Scribes of National Library of Wales_ Brogyntyn ii.1.tei.xml,07-Communities of Writing_ The Main Scribes of National Library of Wales_ Brogyntyn ii.1,"Communities of Writing: The Main Scribes of National Library of Wales, Brogyntyn ii.1",María José Carrillo-Linares; English Studies,2,,10.1080/0013838X.2025.2589844,,
07-Grossed out by environmental breakdown_ Disgust as a literary device within Capitalocene cri-f.tei.xml,07-Grossed out by environmental breakdown_ Disgust as a literary device within Capitalocene cri-f,Grossed out by environmental breakdown? Disgust as a literary device within Capitalocene cri-fi (crisis-fiction),Agnethe Brounbjerg Bennedsgaard,1,,10.1080/0950236X.2025.2608006,,
07-Shifting the ground beneath Singapore literature_ Archipelagic thinking in Isa Kamari_s Rawa a.tei.xml,07-Shifting the ground beneath Singapore literature_ Archipelagic thinking in Isa Kamari_s Rawa a,Shifting the ground beneath Singapore literature: Archipelagic thinking in Isa Kamari's Rawa and Rachel Heng's The Great Reclamation,Angelia Poon,1,,10.1080/17449855.2025.2604166,,
07-_Where is the friend_s house___ Intimacy_ Spatiality_ and _post-_Ottoman Legacies in Sait Faik.tei.xml,07-_Where is the friend_s house___ Intimacy_ Spatiality_ and _post-_Ottoman Legacies in Sait Faik,"'Where is the friend's house?': Intimacy, Spatiality, and (post-)Ottoman Legacies in Sait Faik Abasıyanık",Kutay Onaylı,1,,10.1080/14735784.2024.2434819,,
08-An alter-native cultural imaginary of Brunei Darussalam in Tina Afiqah_s The Bubble Princess a.tei.xml,08-An alter-native cultural imaginary of Brunei Darussalam in Tina Afiqah_s The Bubble Princess a,An alter-native cultural imaginary of Brunei Darussalam in Tina Afiqah's The Bubble Princess and the Stone Heart,Hannah M Y Ho; Faculty of Arts and Social Sciences University of Brunei Darussalam Gadong Brunei; Faculty of Arts and Social Sciences University of Brunei Darussalam Gadong Brunei,3,,10.1080/17449855.2025.2601576,,
08-Form After the Internet Novel_ The Hermeneutics of Digital Ekphrasis.tei.xml,08-Form After the Internet Novel_ The Hermeneutics of Digital Ekphrasis,Form After the Internet Novel: The Hermeneutics of Digital Ekphrasis,Julia Straub,1,,10.1080/00111619.2025.2572812,,
08-Masculinity_ the Environment and the Phenomenology of the Body in Beowulf.tei.xml,08-Masculinity_ the Environment and the Phenomenology of the Body in Beowulf,"Masculinity, the Environment and the Phenomenology of the Body in Beowulf 1",Jacek Olesiejko,1,,10.1080/0013838X.2025.2585317,,
08-The Jim Crow railroad bildungsroman.tei.xml,08-The Jim Crow railroad bildungsroman,The Jim Crow railroad bildungsroman,Henry Ivry,1,,10.1080/0950236X.2025.2608848,,
08-Women in the closet in Peyami Safa_ homonationalism as an analytical category to read early re.tei.xml,08-Women in the closet in Peyami Safa_ homonationalism as an analytical category to read early re,Women in the closet in Peyami Safa: homonationalism as an analytical category to read early republican Turkish literature,Seval Şahin,1,,10.1080/14735784.2025.2475766,,
09-An independent and unconventional character_ Fikriye_ _Everybody_s Woman_.tei.xml,09-An independent and unconventional character_ Fikriye_ _Everybody_s Woman_,"An independent and unconventional character: Fikriye, 'Everybody's Woman'",Ali Serdar,1,,10.1080/14735784.2024.2416645,,
09-Cohesion_ Exile_ Return_ Non-Human Narrative and the Shape of Diaspora Community in Never Let .tei.xml,09-Cohesion_ Exile_ Return_ Non-Human Narrative and the Shape of Diaspora Community in Never Let ,"Cohesion, Exile, Return: Non-Human Narrative and the Shape of Diaspora Community in Never Let Me Go",Ziyang Li,1,,10.1080/00111619.2026.2621106,,
09-Louise Gl_ck_s Averno_ A Feminist Reception of the Myth of Persephone.tei.xml,09-Louise Gl_ck_s Averno_ A Feminist Reception of the Myth of Persephone,Louise Glück's Averno: A Feminist Reception of the Myth of Persephone,Cristina Salcedo González,1,,10.1080/0013838X.2025.2585310,,
09-Of barren lands and broken promises_ Writing social change in Kourouma_s Suns of Independence .tei.xml,09-Of barren lands and broken promises_ Writing social change in Kourouma_s Suns of Independence ,Of barren lands and broken promises: Writing social change in Kourouma's Suns of Independence and Allah Is Not Obliged,Omotayo Jemiluyi,1,,10.1080/17449855.2025.2593631,,
09-War_ widowhood_ and maternal grief in Jacob_s Room.tei.xml,09-War_ widowhood_ and maternal grief in Jacob_s Room,"War, widowhood, and maternal grief in Jacob's Room",Jarica Linn Watts,1,,10.1080/0950236X.2026.2614716,,
10-Critique of Australia_s Bicentennial Moment in John Forbes_s The Stunned Mullet.tei.xml,10-Critique of Australia_s Bicentennial Moment in John Forbes_s The Stunned Mullet,Critique of Australia's Bicentennial Moment in John Forbes's The Stunned Mullet,Simon Eales,1,,10.1080/17449855.2025.2555985,,
10-Manners_ Morals_ and Happiness_ Negotiating Balance in Sense and Sensibility.tei.xml,10-Manners_ Morals_ and Happiness_ Negotiating Balance in Sense and Sensibility,"Manners, Morals, and Happiness: Negotiating Balance in Sense and Sensibility",Zhongliang Shen; Jane Austen,2,,10.1080/0013838X.2025.2582150,,
10-Scaling up the Capitalocene_ paratexts_ storyworld_ and climate change in New York 2140.tei.xml,10-Scaling up the Capitalocene_ paratexts_ storyworld_ and climate change in New York 2140,"Scaling up the Capitalocene: paratexts, storyworld, and climate change in New York 2140",Hongri Wang; Kim Stanley Robinson; David Harvey; Department of English Tongji University Shanghai People's Republic of China; The Condition of Postmodernity; Hongri Wang; Department of Literary Studies Ghent University Belgium; TEXTUAL PRACTICE; Hongri Wang,9,,10.1080/0950236X.2025.2608007,,
10-THE _DERMOGROTESQUE_ BODY_ ACNE_ ALIENATION_ AND AESTHETICS IN BUKOWSKI_S HAM ON RYE.tei.xml,10-THE _DERMOGROTESQUE_ BODY_ ACNE_ ALIENATION_ AND AESTHETICS IN BUKOWSKI_S HAM ON RYE,"THE 'DERMOGROTESQUE' BODY: ACNE, ALIENATION, AND AESTHETICS IN BUKOWSKI'S HAM ON RYE",Vipin Chauhan,1,,10.1080/00111619.2026.2623963,,
10-When the queen of transvestites revealed it all_ Performative politics of queer life writing i.tei.xml,10-When the queen of transvestites revealed it all_ Performative politics of queer life writing i,When the queen of transvestites revealed it all? Performative politics of queer life writing in Turkey's era of confession,Rüstem Ertuğ Altınay,1,,10.1080/14735784.2024.2416650,,
11-A Possible Way Out_ The Paradox of the Multitude in Cloud Atlas and Slade House.tei.xml,11-A Possible Way Out_ The Paradox of the Multitude in Cloud Atlas and Slade House,A Possible Way Out? The Paradox of the Multitude in Cloud Atlas and Slade House,"Hua Tan; Siyu Cao; David Mitchell; David Mitchell "" English Studies; School of English Studies Shanghai International Studies University Shanghai People's Republic of China; O'Donnell A Temporary Future The Fiction of David Mitchell 83-7",6,,10.1080/0013838X.2025.2582146,,
11-Cybernetics_ or the metatechnology of a machine.tei.xml,11-Cybernetics_ or the metatechnology of a machine,"Cybernetics, or the metatechnology of a machine",Max Bense; Kurt Beals; Lea Pao; Leif Weatherby,4,,10.1080/14735784.2024.2423607,,
11-Oceans_ hormones and female flow in Twelfth Night.tei.xml,11-Oceans_ hormones and female flow in Twelfth Night,"Oceans, hormones and female flow in Twelfth Night",Elizabeth Mazzola,1,,10.1080/0950236X.2025.2612051,,
11-Orality and the subaltern_ Anticolonial resistance in Rosario Cruz-Lucero_s Feast and Famine_ .tei.xml,11-Orality and the subaltern_ Anticolonial resistance in Rosario Cruz-Lucero_s Feast and Famine_ ,Orality and the subaltern: Anticolonial resistance in Rosario Cruz-Lucero's Feast and Famine: Stories of Negros,"Aimee S Farah; Virador-Cagayan; Department of Humanities University of the Philippines Mindanao Davao Philippines; University of the Philippines Mindanao Tugbok Dist Brgy Mintal, Davao del Sur 8000 Philippines",4,,10.1080/17449855.2025.2586099,,
11-Relational Time_ Female Transgenerational Bonds and Herstory in Linda Grant_s The Story of the.tei.xml,11-Relational Time_ Female Transgenerational Bonds and Herstory in Linda Grant_s The Story of the,"Relational Time, Female Transgenerational Bonds and Herstory in Linda Grant's The Story of the Forest (2023)",Silvia Pellicer-Ortín,1,,10.1080/00111619.2026.2623962,,
12-H_seyin Rahmi_s queer hauntology_ _Un-_making of the secular nation_state_self.tei.xml,12-H_seyin Rahmi_s queer hauntology_ _Un-_making of the secular nation_state_self,Hüseyin Rahmi's queer hauntology: (Un-)making of the secular nation/state/self,Emre Keser,1,,10.1080/14735784.2024.2355112,,
12-Membrane_ a poetics of the border.tei.xml,12-Membrane_ a poetics of the border,Membrane: a poetics of the border,Emily Mcavan,1,,10.1080/0950236X.2025.2608016,,
12-Promised lands and paradisiacal gardens in Zo_ Wicomb_s David_s Story.tei.xml,12-Promised lands and paradisiacal gardens in Zo_ Wicomb_s David_s Story,Promised lands and paradisiacal gardens in Zoë Wicomb's David's Story,Cleo Beth Theron; Department of English Stellenbosch University Stellenbosch South Africa; Department of English Stellenbosch University Stellenbosch South Africa,3,,10.1080/17449855.2025.2587771,,
12-The Oracle_ the Plague_ and the Mystery of Oedipus_ Identity in Natalie Haynes_ The Children o.tei.xml,12-The Oracle_ the Plague_ and the Mystery of Oedipus_ Identity in Natalie Haynes_ The Children o,"The Oracle, the Plague, and the Mystery of Oedipus' Identity in Natalie Haynes' The Children of Jocasta",Xiuchun Zhang,1,,10.1080/0013838X.2025.2562274,,
12-Ways of Being Male_ Masculinities as Allegories in Yu Hua_s Brothers.tei.xml,12-Ways of Being Male_ Masculinities as Allegories in Yu Hua_s Brothers,Ways of Being Male: Masculinities as Allegories in Yu Hua's Brothers,"Lisa Chu Shen; Miao Li; Shanghai International Studies University 1550 Wenxiang Road, Songjiang Campus 201620 Shanghai China",3,,10.1080/00111619.2026.2621920,,
13-Caste and internal labour migrations_ Exploring subaltern social geographies in Aravind Adiga_.tei.xml,13-Caste and internal labour migrations_ Exploring subaltern social geographies in Aravind Adiga_,Caste and internal labour migrations: Exploring subaltern social geographies in Aravind Adiga's The White Tiger,Swatee Sinha,1,,10.1080/17449855.2025.2593630,,
13-Dangerous bodies_ a corrupted tongue_ tracing the queer Persianate in late Ottoman literature.tei.xml,13-Dangerous bodies_ a corrupted tongue_ tracing the queer Persianate in late Ottoman literature,"Dangerous bodies, a corrupted tongue: tracing the queer Persianate in late Ottoman literature",Erik Blackthorne-O'barr,1,,10.1080/14735784.2024.2364602,,
13-The Tragedy of Alignment_ Machinic Consistency and the Failure of Human Relations in Ian McEwa.tei.xml,13-The Tragedy of Alignment_ Machinic Consistency and the Failure of Human Relations in Ian McEwa,The Tragedy of Alignment: Machinic Consistency and the Failure of Human Relations in Ian McEwan's Machines Like Me and Kazuo Ishiguro's Klara and the Sun,Paul James Butler,1,,10.1080/00111619.2026.2618513,,
13-The Workings of Affect in Lucy Caldwell_s Where They Were Missed.tei.xml,13-The Workings of Affect in Lucy Caldwell_s Where They Were Missed,The Workings of Affect in Lucy Caldwell's Where They Were Missed,"Asier Altuna-García De Salazar; María J Pando-Canteli; English Studies; Department of Social and Human Sciences University of Deusto Bilbao Spain; Asier Altuna-García de Salazar; The Politics of Memory Post-Agreement Northern Irish Literature Northern Irish Writing, 16. 5 Lundy and McGovern, "" 27-8. 6 Magennis, Northern Irish Writing, 3. 7 Heidemann Magennis",6,,10.1080/0013838X.2025.2572213,,
13-_The Ralahine way__ the rural commune in the writings of Irish radical W.P. Ryan.tei.xml,13-_The Ralahine way__ the rural commune in the writings of Irish radical W.P. Ryan,'The Ralahine way': the rural commune in the writings of Irish radical W.P. Ryan,Niall Ó Cuileagáin; William Patrick,2,,10.1080/0950236X.2025.2608858,,
14-Against straight-forwardness_ Literary twists and queer communality in Shani Mootoo_s Moving F.tei.xml,14-Against straight-forwardness_ Literary twists and queer communality in Shani Mootoo_s Moving F,Against straight-forwardness: Literary twists and queer communality in Shani Mootoo's Moving Forward Sideways Like a Crab,Tom Lockwood-Moran,1,,10.1080/17449855.2025.2584965,,
14-From Postcolonialism to Cosmopolitanism_ Reading Timothy Mo_s Thematic Shift and Its Resonance.tei.xml,14-From Postcolonialism to Cosmopolitanism_ Reading Timothy Mo_s Thematic Shift and Its Resonance,From Postcolonialism to Cosmopolitanism: Reading Timothy Mo's Thematic Shift and Its Resonance with the Development of British Chinese Literature,"Yifan Jin; Timothy Mo; See Rothfork; "" Confucianism; Timothy Mo's Sour Sweet; "" Ramraj; Wijesinha; Timothy Mo'; English Studies; Department of Chinese (Zhuhai) Sun Yat-sen University Zhuhai People's Republic of China; Ho Timothy Mo",11,,10.1080/0013838X.2025.2573716,,
14-Narrating Panarchy in the Anthropocene_ The Adaptive _Short Story_ Cycle in Rebecca Campbell_s.tei.xml,14-Narrating Panarchy in the Anthropocene_ The Adaptive _Short Story_ Cycle in Rebecca Campbell_s,Narrating Panarchy in the Anthropocene: The Adaptive (Short Story) Cycle in Rebecca Campbell's Arboreality,Ana María Fraile-Marcos,1,,10.1080/00111619.2026.2621919,,
14-Reading for the future_ _stanbul Ansiklopedisi_ a collection without origin.tei.xml,14-Reading for the future_ _stanbul Ansiklopedisi_ a collection without origin,"Reading for the future: İstanbul Ansiklopedisi, a collection without origin",Müge Özoğlu,1,,10.1080/14735784.2024.2366334,,
14-_THIS IS A PAID ADVERTISEMENT__ advertising poetics in Yugen.tei.xml,14-_THIS IS A PAID ADVERTISEMENT__ advertising poetics in Yugen,'THIS IS A PAID ADVERTISEMENT': advertising poetics in Yugen,Lily Middleton-Mansell,1,,10.1080/0950236X.2025.2608852,,
15-Bald krumme Linien_ generative aesthetics and the Bensian legacy.tei.xml,15-Bald krumme Linien_ generative aesthetics and the Bensian legacy,Bald krumme Linien: generative aesthetics and the Bensian legacy,Grant D Taylor,1,,10.1080/14735784.2024.2394422,,
15-Fiction_s critique_ Gray_s Poor Things and the conduct of sensibility.tei.xml,15-Fiction_s critique_ Gray_s Poor Things and the conduct of sensibility,Fiction's critique: Gray's Poor Things and the conduct of sensibility,Timothy O'leary,1,,10.1080/0950236X.2025.2608009,,
15-Religious Hypocrisy and Moral Failure in James Baldwin_s Go Tell It on the Mountain and Khaled.tei.xml,15-Religious Hypocrisy and Moral Failure in James Baldwin_s Go Tell It on the Mountain and Khaled,Religious Hypocrisy and Moral Failure in James Baldwin's Go Tell It on the Mountain and Khaled Hosseini's The Kite Runner,Nouh Alguzo,1,,10.1080/00111619.2026.2621105,,
15-Writing and translating across power differentials_ Paratextual _re_framing of three Chinese d.tei.xml,15-Writing and translating across power differentials_ Paratextual _re_framing of three Chinese d,Writing and translating across power differentials: Paratextual (re)framing of three Chinese diasporic narratives,Xiaoyan Tan,1,,10.1080/17449855.2025.2586097,,
15-_Aiding the Greek Rebel Infidels__ Insights from the Ottoman Archives on Lord Byron_s Missolon.tei.xml,15-_Aiding the Greek Rebel Infidels__ Insights from the Ottoman Archives on Lord Byron_s Missolon,"""Aiding the Greek Rebel Infidels"": Insights from the Ottoman Archives on Lord Byron's Missolonghi Mission",Hüseyin Alhas; Yiğit Sümbül; English Studies,3,,10.1080/0013838X.2025.2566701,,
16-Information poetics_ communication and combinatorics in concrete poetry.tei.xml,16-Information poetics_ communication and combinatorics in concrete poetry,Information poetics: communication and combinatorics in concrete poetry,Kurt Beals,1,,10.1080/14735784.2024.2347987,,
16-The hopeful possibilities of _sideways_ time_ Louise Erdrich_s Future Home of the Living God.tei.xml,16-The hopeful possibilities of _sideways_ time_ Louise Erdrich_s Future Home of the Living God,"The hopeful possibilities of ""sideways"" time: Louise Erdrich's Future Home of the Living God",Amanda Lagji; Department of English and World Literature Pitzer College Claremont CA USA; Department of English and World Literature Pitzer College 1050 N Mills Ave Claremont CA USA,3,,10.1080/17449855.2025.2576247,,
16-Tom McCarthy_ The Making of Incarnation_ and the Infrastructure of Virtuality.tei.xml,16-Tom McCarthy_ The Making of Incarnation_ and the Infrastructure of Virtuality,"The Making of Incarnation, and the Infrastructure of Virtuality",Tom Mccarthy; Jihuan Yu,2,,10.1080/0013838X.2025.2566694,,
